iter	Passed	Remaining
0	58	58930
1	59	29578
2	59	19794
3	59	14911
4	60	11990
5	60	10022
6	60	8616
7	60	7561
8	61	6812
9	62	6150
10	62	5606
11	62	5155
12	62	4772
13	63	4445
14	63	4162
15	63	3913
16	63	3693
17	64	3497
18	64	3323
19	64	3168
20	64	3029
21	65	2899
22	65	2781
23	65	2673
24	65	2573
25	66	2480
26	66	2394
27	66	2314
28	66	2239
29	67	2171
30	67	2107
31	67	2046
32	67	1988
33	68	1935
34	68	1884
35	68	1837
36	68	1792
37	69	1750
38	69	1708
39	69	1670
40	69	1633
41	70	1598
42	70	1564
43	70	1531
44	70	1501
45	70	1471
46	71	1445
47	71	1417
48	71	1391
49	71	1367
50	72	1343
51	72	1319
52	72	1298
53	72	1278
54	73	1257
55	73	1237
56	73	1217
57	73	1198
58	74	1180
59	74	1162
60	74	1145
61	74	1128
62	74	1113
63	75	1097
64	75	1082
65	75	1067
66	75	1054
67	75	1038
68	75	1025
69	76	1012
70	76	999
71	76	988
72	76	976
73	77	964
74	77	953
75	77	941
76	77	930
77	77	920
78	78	909
79	78	899
80	78	889
81	78	880
82	78	871
83	79	861
84	79	851
85	79	842
86	79	833
87	79	824
88	79	816
89	79	808
90	80	800
91	80	793
92	80	785
93	80	778
94	80	770
95	81	763
96	81	756
97	81	750
98	81	743
99	81	736
100	82	730
101	82	723
102	82	717
103	82	710
104	82	705
105	82	699
106	83	693
107	83	688
108	83	682
109	83	677
110	83	672
111	84	667
112	84	662
113	84	658
114	84	653
115	85	648
116	85	643
117	85	638
118	85	634
119	85	629
120	86	625
121	86	621
122	86	615
123	86	611
124	86	607
125	87	603
126	87	599
127	87	594
128	87	590
129	87	587
130	87	583
131	88	579
132	88	576
133	88	572
134	88	568
135	88	565
136	89	561
137	89	557
138	89	554
139	89	551
140	90	548
141	90	545
142	90	541
143	90	538
144	90	535
145	91	532
146	91	529
147	91	526
148	91	523
149	91	520
150	92	517
151	92	514
152	92	511
153	92	508
154	92	505
155	93	503
156	93	500
157	93	497
158	93	495
159	93	492
160	93	489
161	94	487
162	94	484
163	94	482
164	94	479
165	94	476
166	95	474
167	95	471
168	95	469
169	95	467
170	95	464
171	96	462
172	96	460
173	96	458
174	96	455
175	96	453
176	97	451
177	97	448
178	97	446
179	97	444
180	97	441
181	97	439
182	97	437
183	98	435
184	98	433
185	98	431
186	98	429
187	98	427
188	99	425
189	99	423
190	99	421
191	99	419
192	99	417
193	100	415
194	100	413
195	100	412
196	100	410
197	100	408
198	101	406
199	101	404
200	101	403
201	101	401
202	101	400
203	102	398
204	102	397
205	102	396
206	103	394
207	103	393
208	103	391
209	103	390
210	103	388
211	104	387
212	104	385
213	104	384
214	104	383
215	105	382
216	105	380
217	105	379
218	105	377
219	106	376
220	106	374
221	106	373
222	106	371
223	106	370
224	107	369
225	107	367
226	107	366
227	107	364
228	107	363
229	108	362
230	108	360
231	108	359
232	108	358
233	109	356
234	109	355
235	109	354
236	109	352
237	109	351
238	110	350
239	110	349
240	110	348
241	110	347
242	111	346
243	111	344
244	111	343
245	111	342
246	112	341
247	112	340
248	112	339
249	112	338
250	112	336
251	113	335
252	113	334
253	113	333
254	113	332
255	113	331
256	114	330
257	114	328
258	114	327
259	114	326
260	114	325
261	115	324
262	115	323
263	115	322
264	115	321
265	115	319
266	116	318
267	116	317
268	116	316
269	116	315
270	116	314
271	117	313
272	117	312
273	117	311
274	117	310
275	118	309
276	118	308
277	118	307
278	118	306
279	118	305
280	119	304
281	119	303
282	119	302
283	119	301
284	120	301
285	120	300
286	120	299
287	120	298
288	120	297
289	121	296
290	121	295
291	121	294
292	121	293
293	122	292
294	122	292
295	122	291
296	122	290
297	122	289
298	123	288
299	123	287
300	123	286
301	123	285
302	123	285
303	124	284
304	124	283
305	124	282
306	124	281
307	124	280
308	125	279
309	125	279
310	125	278
311	125	277
312	126	276
313	126	275
314	126	275
315	126	274
316	126	273
317	127	272
318	127	271
319	127	270
320	127	270
321	127	269
322	128	268
323	128	267
324	128	267
325	128	266
326	128	265
327	129	264
328	129	263
329	129	263
330	129	262
331	130	261
332	130	261
333	130	260
334	130	259
335	131	258
336	131	258
337	131	257
338	131	256
339	131	255
340	132	255
341	132	254
342	132	253
343	132	253
344	132	252
345	133	251
346	133	250
347	133	250
348	133	249
349	133	248
350	134	248
351	134	247
352	134	246
353	134	246
354	135	245
355	135	244
356	135	244
357	135	243
358	135	242
359	136	242
360	136	241
361	136	241
362	136	240
363	137	239
364	137	238
365	137	238
366	137	237
367	138	237
368	138	236
369	138	235
370	138	235
371	138	234
372	139	233
373	139	233
374	139	232
375	139	232
376	140	231
377	140	230
378	140	230
379	140	229
380	140	228
381	141	228
382	141	227
383	141	227
384	141	226
385	141	225
386	142	225
387	142	224
388	142	224
389	142	223
390	143	222
391	143	222
392	143	221
393	143	221
394	143	220
395	144	219
396	144	219
397	144	218
398	144	218
399	144	217
400	145	216
401	145	216
402	145	215
403	145	215
404	146	214
405	146	214
406	146	213
407	146	212
408	146	212
409	147	211
410	147	211
411	147	210
412	147	210
413	148	209
414	148	208
415	148	208
416	148	207
417	148	207
418	149	206
419	149	206
420	149	205
421	149	204
422	149	204
423	150	203
424	150	203
425	150	202
426	150	202
427	151	201
428	151	201
429	151	200
430	151	200
431	151	199
432	152	199
433	152	198
434	152	198
435	152	197
436	153	197
437	153	196
438	153	196
439	153	195
440	153	195
441	154	194
442	154	194
443	154	193
444	154	192
445	154	192
446	155	191
447	155	191
448	155	190
449	155	190
450	155	189
451	156	189
452	156	188
453	156	188
454	156	187
455	156	187
456	157	186
457	157	186
458	157	185
459	157	185
460	158	184
461	158	184
462	158	183
463	158	183
464	158	182
465	159	182
466	159	181
467	159	181
468	159	180
469	159	180
470	160	179
471	160	179
472	160	178
473	160	178
474	160	177
475	161	177
476	161	176
477	161	176
478	161	175
479	161	175
480	162	174
481	162	174
482	162	173
483	162	173
484	162	173
485	163	172
486	163	172
487	163	171
488	163	171
489	163	170
490	164	170
491	164	169
492	164	169
493	164	168
494	165	168
495	165	167
496	165	167
497	165	166
498	165	166
499	166	166
500	166	165
501	166	165
502	166	164
503	166	164
504	167	163
505	167	163
506	167	162
507	167	162
508	167	161
509	168	161
510	168	161
511	168	160
512	168	160
513	168	159
514	169	159
515	169	158
516	169	158
517	169	157
518	169	157
519	170	157
520	170	156
521	170	156
522	170	155
523	171	155
524	171	154
525	171	154
526	171	154
527	171	153
528	172	153
529	172	152
530	172	152
531	172	151
532	172	151
533	173	151
534	173	150
535	173	150
536	173	149
537	173	149
538	174	148
539	174	148
540	174	148
541	174	147
542	175	147
543	175	146
544	175	146
545	175	146
546	175	145
547	176	145
548	176	144
549	176	144
550	176	143
551	176	143
552	177	143
553	177	142
554	177	142
555	177	141
556	177	141
557	178	141
558	178	140
559	178	140
560	178	139
561	179	139
562	179	139
563	179	138
564	179	138
565	180	138
566	180	137
567	180	137
568	180	136
569	180	136
570	181	136
571	181	135
572	181	135
573	181	134
574	182	134
575	182	134
576	182	133
577	182	133
578	182	132
579	183	132
580	183	132
581	183	131
582	183	131
583	183	130
584	184	130
585	184	130
586	184	129
587	184	129
588	184	129
589	185	128
590	185	128
591	185	127
592	185	127
593	186	127
594	186	126
595	186	126
596	186	126
597	187	125
598	187	125
599	187	124
600	187	124
601	187	124
602	188	123
603	188	123
604	188	123
605	188	122
606	188	122
607	189	121
608	189	121
609	189	121
610	189	120
611	189	120
612	190	120
613	190	119
614	190	119
615	190	118
616	190	118
617	191	118
618	191	117
619	191	117
620	191	117
621	192	116
622	192	116
623	192	115
624	192	115
625	192	115
626	192	114
627	193	114
628	193	114
629	193	113
630	193	113
631	194	112
632	194	112
633	194	112
634	194	111
635	194	111
636	195	111
637	195	110
638	195	110
639	195	110
640	195	109
641	196	109
642	196	109
643	196	108
644	196	108
645	197	107
646	197	107
647	197	107
648	197	106
649	197	106
650	198	106
651	198	105
652	198	105
653	198	105
654	198	104
655	199	104
656	199	104
657	199	103
658	199	103
659	200	103
660	200	102
661	200	102
662	200	101
663	200	101
664	201	101
665	201	100
666	201	100
667	201	100
668	201	99
669	202	99
670	202	99
671	202	98
672	202	98
673	202	98
674	203	97
675	203	97
676	203	97
677	203	96
678	204	96
679	204	96
680	204	95
681	204	95
682	204	95
683	205	94
684	205	94
685	205	94
686	205	93
687	205	93
688	206	93
689	206	92
690	206	92
691	206	92
692	206	91
693	207	91
694	207	90
695	207	90
696	207	90
697	208	89
698	208	89
699	208	89
700	208	88
701	208	88
702	209	88
703	209	87
704	209	87
705	209	87
706	209	86
707	209	86
708	210	86
709	210	85
710	210	85
711	210	85
712	211	84
713	211	84
714	211	84
715	211	83
716	211	83
717	212	83
718	212	82
719	212	82
720	212	82
721	212	81
722	213	81
723	213	81
724	213	81
725	213	80
726	213	80
727	214	80
728	214	79
729	214	79
730	214	79
731	214	78
732	215	78
733	215	78
734	215	77
735	215	77
736	216	77
737	216	76
738	216	76
739	216	76
740	216	75
741	217	75
742	217	75
743	217	74
744	217	74
745	217	74
746	218	73
747	218	73
748	218	73
749	218	72
750	218	72
751	219	72
752	219	71
753	219	71
754	219	71
755	219	70
756	220	70
757	220	70
758	220	70
759	220	69
760	220	69
761	221	69
762	221	68
763	221	68
764	221	68
765	221	67
766	222	67
767	222	67
768	222	66
769	222	66
770	223	66
771	223	65
772	223	65
773	223	65
774	223	65
775	224	64
776	224	64
777	224	64
778	224	63
779	224	63
780	225	63
781	225	62
782	225	62
783	225	62
784	225	61
785	226	61
786	226	61
787	226	60
788	226	60
789	226	60
790	227	60
791	227	59
792	227	59
793	227	59
794	228	58
795	228	58
796	228	58
797	228	57
798	228	57
799	229	57
800	229	56
801	229	56
802	229	56
803	229	56
804	230	55
805	230	55
806	230	55
807	230	54
808	230	54
809	231	54
810	231	53
811	231	53
812	231	53
813	232	53
814	232	52
815	232	52
816	232	52
817	232	51
818	233	51
819	233	51
820	233	50
821	233	50
822	233	50
823	234	50
824	234	49
825	234	49
826	234	49
827	234	48
828	235	48
829	235	48
830	235	47
831	235	47
832	236	47
833	236	47
834	236	46
835	236	46
836	236	46
837	237	45
838	237	45
839	237	45
840	237	44
841	237	44
842	238	44
843	238	44
844	238	43
845	238	43
846	239	43
847	239	42
848	239	42
849	239	42
850	239	41
851	240	41
852	240	41
853	240	41
854	240	40
855	240	40
856	241	40
857	241	39
858	241	39
859	241	39
860	241	39
861	242	38
862	242	38
863	242	38
864	242	37
865	242	37
866	243	37
867	243	36
868	243	36
869	243	36
870	243	36
871	244	35
872	244	35
873	244	35
874	244	34
875	244	34
876	245	34
877	245	34
878	245	33
879	245	33
880	246	33
