iter	Passed	Remaining
0	1	1139
1	1	691
2	1	540
3	1	468
4	2	417
5	2	385
6	2	373
7	2	357
8	3	345
9	3	334
10	3	324
11	3	316
12	4	306
13	4	299
14	4	292
15	4	287
16	4	284
17	5	280
18	5	276
19	5	272
20	5	269
21	5	266
22	6	263
23	6	261
24	6	260
25	6	258
26	7	256
27	7	254
28	7	252
29	7	251
30	7	249
31	8	248
32	8	246
33	8	245
34	8	243
35	9	242
36	9	241
37	9	240
38	9	238
39	9	237
40	10	236
41	10	236
42	10	235
43	10	234
44	11	234
45	11	233
46	11	233
47	11	234
48	12	234
49	12	233
50	12	232
51	12	233
52	13	232
53	13	232
54	13	232
55	13	231
56	13	231
57	14	231
58	14	230
59	14	229
60	14	228
61	15	228
62	15	227
63	15	227
64	15	226
65	16	226
66	16	226
67	16	225
68	16	224
69	16	224
70	17	223
71	17	223
72	17	222
73	17	222
74	18	222
75	18	230
76	19	229
77	19	228
78	19	228
79	19	228
80	20	228
81	20	227
82	20	225
83	20	224
84	20	224
85	21	223
86	21	222
87	21	222
88	21	221
89	21	221
90	22	221
91	22	220
92	22	220
93	22	219
94	22	218
95	23	218
96	23	217
97	23	217
98	23	216
99	24	216
100	24	215
101	24	215
102	24	215
103	24	214
104	25	214
105	25	213
106	25	213
107	25	213
108	26	212
109	26	212
110	26	212
111	26	212
112	26	211
113	27	211
114	27	211
115	27	211
116	27	210
117	28	210
118	28	209
119	28	209
120	28	208
121	28	208
122	29	208
123	29	207
124	29	207
125	29	207
126	30	206
127	30	205
128	30	206
129	30	205
130	30	205
131	31	204
132	31	204
133	31	203
134	31	203
135	31	203
136	32	203
137	32	202
138	32	202
139	32	202
140	33	202
141	33	201
142	34	205
143	34	204
144	34	204
145	34	204
146	35	203
147	35	203
148	35	202
149	35	202
150	36	202
151	36	202
152	36	201
153	36	201
154	36	201
155	37	200
156	37	200
157	37	199
158	37	199
159	37	199
160	38	198
161	38	197
162	38	197
163	38	197
164	38	196
165	39	196
166	39	196
167	39	196
168	39	195
169	40	195
170	40	194
171	40	194
172	40	194
173	40	194
174	41	193
175	41	193
176	41	193
177	41	192
178	41	192
179	42	192
180	42	191
181	42	191
182	42	191
183	43	190
184	43	190
185	43	189
186	43	189
187	43	189
188	44	188
189	44	188
190	44	188
191	44	187
192	44	187
193	45	187
194	45	187
195	45	186
196	45	186
197	45	185
198	46	185
199	46	185
200	46	184
201	46	184
202	46	184
203	47	184
204	47	183
205	47	183
206	47	183
207	47	182
208	48	182
209	48	182
210	48	182
211	49	182
212	49	182
213	49	182
214	49	181
215	50	181
216	50	181
217	50	180
218	50	180
219	50	180
220	51	180
221	51	179
222	51	179
223	51	179
224	51	179
225	52	178
226	52	178
227	52	178
228	52	177
229	53	177
230	53	177
231	53	177
232	53	177
233	54	176
234	54	176
235	54	176
236	54	176
237	54	175
238	55	175
239	55	175
240	55	175
241	55	174
242	56	174
243	56	174
244	56	174
245	56	173
246	56	173
247	57	173
248	57	173
249	57	172
250	57	172
251	58	172
252	58	172
253	58	171
254	58	171
255	58	171
256	59	171
257	59	170
258	59	170
259	59	170
260	60	170
261	60	169
262	60	169
263	60	169
264	60	169
265	61	168
266	61	168
267	61	168
268	61	167
269	61	167
270	62	167
271	62	166
272	62	166
273	62	166
274	63	166
275	63	166
276	63	165
277	63	165
278	63	165
279	64	164
280	64	164
281	64	164
282	64	164
283	65	163
284	65	163
285	65	163
286	65	163
287	65	163
288	66	162
289	66	162
290	66	162
291	66	162
292	67	162
293	67	161
294	67	161
295	67	161
296	68	161
297	68	161
298	68	160
299	68	160
300	69	160
301	69	160
302	69	159
303	69	159
304	70	159
305	70	159
306	70	158
307	70	158
308	70	158
309	71	158
310	71	157
311	71	157
312	71	157
313	71	157
314	72	157
315	72	156
316	72	156
317	72	156
318	73	156
319	73	156
320	73	155
321	73	155
322	74	155
323	74	155
324	74	154
325	74	154
326	75	154
327	75	154
328	75	153
329	75	153
330	75	153
331	76	153
332	76	152
333	76	152
334	76	152
335	77	152
336	77	151
337	77	151
338	77	151
339	77	151
340	78	150
341	78	150
342	78	150
343	78	150
344	78	149
345	79	149
346	79	149
347	79	149
348	79	148
349	80	148
350	80	148
351	80	148
352	80	147
353	80	147
354	81	147
355	81	147
356	81	147
357	81	146
358	82	146
359	82	146
360	82	146
361	82	145
362	82	145
363	83	145
364	83	145
365	83	144
366	83	144
367	84	144
368	84	144
369	84	143
370	84	143
371	84	143
372	85	143
373	85	143
374	85	142
375	85	142
376	86	142
377	86	142
378	86	141
379	86	141
380	87	141
381	87	141
382	87	140
383	87	140
384	88	140
385	88	140
386	88	140
387	88	139
388	88	139
389	89	139
390	89	139
391	89	138
392	89	138
393	90	138
394	90	138
395	90	137
396	90	137
397	90	137
398	91	137
399	91	136
400	91	136
401	91	136
402	91	136
403	92	135
404	92	135
405	92	135
406	92	135
407	93	134
408	93	134
409	93	134
410	93	134
411	93	133
412	94	133
413	94	133
414	94	133
415	94	132
416	94	132
417	95	132
418	95	132
419	95	132
420	95	131
421	96	131
422	96	131
423	96	131
424	96	130
425	97	130
426	97	130
427	97	130
428	97	130
429	97	129
430	98	129
431	98	129
432	98	128
433	98	128
434	98	128
435	99	128
436	99	127
437	99	127
438	99	127
439	100	127
440	100	127
441	100	126
442	100	126
443	100	126
444	101	126
445	101	125
446	101	125
447	101	125
448	102	125
449	102	125
450	102	124
451	102	124
452	102	124
453	103	124
454	103	123
455	103	123
456	103	123
457	104	123
458	104	122
459	104	122
460	104	122
461	104	122
462	105	121
463	105	121
464	105	121
465	105	121
466	106	121
467	106	120
468	106	120
469	106	120
470	106	120
471	107	119
472	107	119
473	107	119
474	107	119
475	107	118
476	108	118
477	108	118
478	108	118
479	108	117
480	109	117
481	109	117
482	109	117
483	109	116
484	109	116
485	110	116
486	110	116
487	110	115
488	110	115
489	110	115
490	111	115
491	111	114
492	111	114
493	111	114
494	111	114
495	112	114
496	112	113
497	112	113
498	113	113
499	113	113
500	113	112
501	113	112
502	113	112
503	114	112
504	114	112
505	114	111
506	114	111
507	114	111
508	115	111
509	115	110
510	115	110
511	115	110
512	116	110
513	116	109
514	116	109
515	116	109
516	117	109
517	117	109
518	117	109
519	117	108
520	118	108
521	118	108
522	118	108
523	118	107
524	118	107
525	119	107
526	119	107
527	119	106
528	119	106
529	119	106
530	120	106
531	120	106
532	121	106
533	121	105
534	121	105
535	121	105
536	122	105
537	122	104
538	122	104
539	122	104
540	122	104
541	123	104
542	123	103
543	123	103
544	123	103
545	124	103
546	124	102
547	124	102
548	124	102
549	124	102
550	125	101
551	125	101
552	125	101
553	125	101
554	126	101
555	126	100
556	126	100
557	126	100
558	126	100
559	127	99
560	127	99
561	127	99
562	127	99
563	127	98
564	128	98
565	128	98
566	128	98
567	128	97
568	129	97
569	129	97
570	129	97
571	129	96
572	129	96
573	130	96
574	130	96
575	130	96
576	130	95
577	130	95
578	131	95
579	131	95
580	131	94
581	131	94
582	131	94
583	132	94
584	132	93
585	132	93
586	132	93
587	133	93
588	133	92
589	133	92
590	133	92
591	133	92
592	134	92
593	134	91
594	134	91
595	134	91
596	135	91
597	135	90
598	135	90
599	135	90
600	135	90
601	136	89
602	136	89
603	136	89
604	136	89
605	136	88
606	137	88
607	137	88
608	137	88
609	137	88
610	137	87
611	138	87
612	138	87
613	138	87
614	138	86
615	139	86
616	139	86
617	139	86
618	139	85
619	139	85
620	140	85
621	140	85
622	140	85
623	140	84
624	140	84
625	141	84
626	141	84
627	141	83
628	141	83
629	142	83
630	142	83
631	142	82
632	142	82
633	142	82
634	143	82
635	143	82
636	143	81
637	143	81
638	144	81
639	144	81
640	144	80
641	144	80
642	145	80
643	145	80
644	145	80
645	145	79
646	145	79
647	146	79
648	146	79
649	146	78
650	146	78
651	146	78
652	147	78
653	147	77
654	147	77
655	147	77
656	148	77
657	148	77
658	148	76
659	148	76
660	148	76
661	149	76
662	149	75
663	149	75
664	149	75
665	149	75
666	150	74
667	150	74
668	150	74
669	150	74
670	151	74
671	151	73
672	151	73
673	151	73
674	152	73
675	152	72
676	152	72
677	152	72
678	152	72
679	153	72
680	153	71
681	153	71
682	153	71
683	154	71
684	154	70
685	154	70
686	154	70
687	154	70
688	155	70
689	155	69
690	155	69
691	155	69
692	156	69
693	156	68
694	156	68
695	156	68
696	156	68
697	157	67
698	157	67
699	157	67
700	157	67
701	158	67
702	158	66
703	158	66
704	158	66
705	158	66
706	159	65
707	159	65
708	159	65
709	159	65
710	160	65
711	160	64
712	160	64
713	160	64
714	160	64
715	161	63
716	161	63
717	161	63
718	162	63
719	162	63
720	162	62
721	162	62
722	162	62
723	163	62
724	163	61
725	163	61
726	163	61
727	164	61
728	164	61
729	164	60
730	164	60
731	164	60
732	165	60
733	165	59
734	165	59
735	165	59
736	166	59
737	166	59
738	166	58
739	166	58
740	166	58
741	167	58
742	167	57
743	167	57
744	167	57
745	168	57
746	168	57
747	168	56
748	168	56
749	169	56
750	169	56
751	169	55
752	169	55
753	170	55
754	170	55
755	170	55
756	170	54
757	170	54
758	171	54
759	171	54
760	171	53
761	171	53
762	172	53
763	172	53
764	172	53
765	172	52
766	172	52
767	173	52
